P-264,U5,"[0, 93, 110]","[68, 60, 108]",35,10000000,0
P-73,U5,"[1, 7, 220]","[86, 104, 63]",79,10000000,0
P-274,U5,"[1, 95, 0]","[75, 88, 110]",114,10000000,0
P-297,U5,"[1, 183, 1]","[68, 101, 103]",149,10000000,0
P-285,U5,"[4, 111, 220]","[81, 108, 54]",78,10000000,0
P-394,U5,"[4, 154, 110]","[81, 90, 109]",68,10000000,0
P-2,U5,"[4, 219, 219]","[81, 99, 56]",53,10000000,0
P-365,U5,"[5, 0, 0]","[88, 95, 110]",217,10000000,0
P-129,U5,"[9, 8, 110]","[59, 85, 110]",64,10000000,0
P-238,U5,"[18, 244, 104]","[50, 69, 102]",74,10000000,0
P-23,U5,"[68, 7, 110]","[50, 51, 110]",59,10000000,0
P-165,U5,"[68, 58, 110]","[93, 96, 103]",267,10000000,0
P-148,U5,"[68, 249, 109]","[49, 67, 100]",50,10000000,0
P-333,U5,"[69, 190, 4]","[72, 85, 100]",59,10000000,0
P-42,U5,"[69, 275, 0]","[62, 41, 109]",46,10000000,0
P-252,U5,"[76, 95, 0]","[48, 95, 110]",139,10000000,0
P-124,U5,"[85, 111, 213]","[54, 104, 72]",96,10000000,0
P-356,U5,"[85, 154, 110]","[77, 95, 99]",133,10000000,0
P-139,U5,"[85, 219, 210]","[84, 96, 75]",123,10000000,0
P-319,U5,"[87, 8, 220]","[101, 102, 48]",144,10000000,0
P-346,U5,"[93, 0, 0]","[83, 95, 110]",54,10000000,0
P-207,U5,"[117, 265, 109]","[70, 45, 95]",46,10000000,0
P-80,U5,"[118, 14, 110]","[43, 44, 85]",20,127,0
P-105,U5,"[124, 95, 1]","[80, 95, 103]",225,10000000,0
P-295,U5,"[139, 110, 216]","[49, 109, 69]",32,10000000,0
P-282,U5,"[141, 190, 0]","[54, 92, 107]",147,10000000,0
P-145,U5,"[162, 95, 104]","[75, 79, 106]",66,10000000,0
P-211,U5,"[163, 0, 110]","[81, 95, 96]",142,10000000,0
P-133,U5,"[169, 174, 107]","[63, 91, 109]",174,10000000,0
P-94,U5,"[169, 219, 216]","[66, 98, 67]",95,10000000,0
P-41,U5,"[176, 3, 3]","[68, 90, 104]",72,10000000,0
P-326,U5,"[187, 265, 107]","[51, 45, 84]",17,136,0
P-162,U5,"[188, 7, 210]","[46, 104, 65]",36,10000000,0
P-224,U5,"[188, 111, 216]","[56, 99, 68]",103,10000000,0
P-103,U5,"[195, 190, 2]","[44, 78, 102]",84,10000000,0
P-221,U5,"[195, 268, 36]","[44, 49, 68]",13,86,0
P-202,U5,"[204, 93, 10]","[40, 52, 94]",57,105,0
P-130,U5,"[204, 145, 26]","[40, 45, 78]",18,79,0
P-300,U6,"[0, 0, 0]","[69, 97, 101]",57,10000000,0
P-177,U6,"[0, 148, 0]","[44, 41, 99]",17,77,0
P-71,U6,"[1, 0, 198]","[43, 99, 60]",41,10000000,0
P-45,U6,"[2, 88, 101]","[72, 81, 91]",92,10000000,0
P-3,U6,"[2, 97, 0]","[42, 51, 101]",17,10000000,0
P-68,U6,"[2, 232, 96]","[46, 81, 92]",62,10000000,0
P-20,U6,"[3, 99, 192]","[56, 106, 88]",71,10000000,0
P-236,U6,"[3, 199, 5]","[56, 56, 91]",57,10000000,0
P-16,U6,"[4, 169, 99]","[48, 63, 93]",82,10000000,0
P-291,U6,"[4, 232, 188]","[40, 74, 81]",42,124,0
P-266,U6,"[6, 255, 8]","[53, 61, 88]",37,10000000,0
P-134,U6,"[20, 0, 101]","[80, 88, 97]",150,10000000,0
P-299,U6,"[44, 0, 198]","[80, 83, 87]",55,10000000,0
P-255,U6,"[44, 97, 1]","[64, 96, 98]",78,10000000,0
P-82,U6,"[48, 240, 185]","[66, 71, 97]",130,10000000,0
P-360,U6,"[48, 261, 96]","[76, 53, 80]",23,10000000,0
P-36,U6,"[52, 181, 99]","[78, 80, 86]",146,10000000,0
P-273,U6,"[59, 88, 192]","[71, 79, 85]",127,10000000,0
P-180,U6,"[59, 169, 190]","[59, 71, 80]",43,10000000,0
P-215,U6,"[59, 193, 7]","[80, 87, 89]",126,10000000,0
P-283,U6,"[69, 0, 1]","[66, 97, 100]",79,10000000,0
P-6,U6,"[74, 97, 99]","[56, 84, 91]",47,10000000,0
P-142,U6,"[100, 0, 101]","[74, 83, 92]",169,10000000,0
P-106,U6,"[108, 97, 7]","[54, 90, 92]",100,10000000,0
P-126,U6,"[118, 167, 190]","[60, 64, 85]",94,10000000,0
P-366,U6,"[118, 231, 197]","[105, 56, 71]",112,10000000,0
P-9,U6,"[124, 0, 193]","[71, 73, 88]",50,10000000,0
P-157,U6,"[130, 73, 195]","[54, 88, 88]",30,10000000,0
P-219,U6,"[130, 83, 101]","[61, 76, 94]",57,10000000,0
P-168,U6,"[130, 159, 99]","[68, 87, 88]",109,10000000,0
P-17,U6,"[130, 246, 96]","[57, 63, 83]",29,10000000,0
P-125,U6,"[135, 0, 5]","[68, 85, 91]",139,10000000,0
P-350,U6,"[139, 228, 7]","[60, 69, 85]",52,10000000,0
P-181,U6,"[162, 85, 1]","[57, 58, 98]",93,10000000,0
P-10,U6,"[162, 143, 8]","[70, 85, 88]",81,10000000,0
P-280,U6,"[174, 0, 96]","[53, 61, 90]",75,10000000,0
P-183,U6,"[187, 246, 92]","[57, 72, 105]",37,10000000,0
P-304,U6,"[191, 83, 99]","[51, 68, 89]",31,10000000,0
P-232,U6,"[191, 83, 188]","[47, 67, 84]",38,10000000,0
P-188,U6,"[191, 151, 187]","[51, 51, 86]",12,10000000,0
P-163,U6,"[195, 0, 186]","[49, 83, 83]",45,10000000,0
P-75,U6,"[198, 151, 96]","[43, 74, 85]",42,128,0
P-216,U6,"[199, 228, 9]","[44, 64, 83]",57,10000000,0
P-222,U6,"[203, 0, 8]","[41, 73, 88]",59,10000000,0
P-385,U3,"[0, 132, 179]","[40, 48, 64]",23,113,0
P-123,U3,"[0, 219, 132]","[43, 62, 40]",7,75,0
P-194,U3,"[0, 263, 0]","[109, 48, 71]",97,116,0
P-150,U3,"[1, 219, 74]","[42, 54, 58]",12,10000000,0
P-49,U3,"[2, 180, 174]","[40, 100, 69]",55,10000000,0
P-109,U3,"[4, 74, 81]","[44, 79, 98]",53,10000000,0
P-37,U3,"[5, 145, 2]","[51, 59, 76]",33,131,0
P-352,U3,"[5, 153, 78]","[43, 66, 89]",32,10000000,0
P-257,U3,"[5, 204, 7]","[51, 54, 67]",40,103,0
P-212,U3,"[8, 0, 95]","[48, 74, 105]",96,10000000,0
P-46,U3,"[9, 0, 1]","[62, 71, 94]",39,10000000,0
P-393,U3,"[9, 0, 200]","[47, 65, 44]",23,133,0
P-265,U3,"[9, 74, 179]","[47, 58, 60]",37,10000000,0
P-217,U3,"[13, 71, 3]","[72, 74, 78]",97,10000000,0
P-289,U3,"[42, 247, 174]","[43, 66, 70]",28,79,0
P-185,U3,"[43, 248, 74]","[42, 67, 100]",52,133,0
P-206,U3,"[48, 132, 165]","[41, 47, 60]",29,85,0
P-25,U3,"[48, 136, 88]","[44, 53, 77]",37,108,0
P-310,U3,"[48, 189, 78]","[43, 59, 65]",15,10000000,0
P-327,U3,"[48, 189, 143]","[44, 58, 96]",18,119,0
P-199,U3,"[56, 0, 113]","[58, 67, 73]",59,10000000,0
P-92,U3,"[56, 0, 186]","[58, 65, 58]",59,138,0
P-50,U3,"[56, 67, 158]","[104, 64, 73]",75,10000000,0
P-270,U3,"[56, 148, 8]","[47, 52, 70]",12,10000000,0
P-86,U3,"[56, 200, 9]","[41, 63, 65]",50,10000000,0
P-284,U3,"[71, 0, 3]","[52, 70, 110]",86,10000000,0
